wavelength,transmission_u,transmission_g,transmission_r,transmission_i,transmission_z,transmission_q
315.0,-0.000102831,0.003102648,3.11e-05,8.75e-05,-0.000163887,-1.16e-05
315.5,5.73e-05,0.003224203,-5.82e-06,6.26e-05,1.34e-05,-0.00047228
316.0,0.000164062,0.01194032,4.21e-05,6.92e-05,9.32e-05,5.05e-05
316.5,0.000392378,0.032862224,-7.21e-06,0.000105537,-5.67e-05,0.000543188
317.0,5.72e-05,0.038169306,0.000873996,0.000191282,0.000120169,0.002000487
317.5,-0.000290384,0.015581394,0.004732584,0.000410142,4.57e-05,0.003494239
318.0,0.0003485,0.000272578,0.007432341,0.000865735,0.000721397,0.002661639
318.5,-0.000286703,0.000112769,0.00372781,0.000839519,0.000205756,0.001823243
319.0,-4.46e-05,0.000185557,0.000193841,0.000532539,0.000461183,0.002118282
319.5,0.000264166,0.000202642,-3.44e-06,0.000284194,0.000425092,0.001040386
320.0,2.15e-05,3.89e-05,3.07e-05,0.000200353,0.00028977,0.000196171
320.5,0.000341499,8.61e-05,5.45e-05,0.000122139,6.88e-05,0.000518936
321.0,8.7e-05,-4.81e-05,4.19e-05,2.31e-05,0.000386919,0.00074512
321.5,-0.000117323,-2.89e-05,-2.9e-05,0.000106242,9.06e-05,0.000198996
322.0,-7.97e-05,4e-05,1.54e-05,0.000148103,0.000599223,-0.000110782
322.5,0.000354507,1.63e-05,1.06e-05,0.000188625,-0.000144957,0.000139155
323.0,-2.54e-05,5.48e-05,-2.02e-05,6.69e-05,0.000308441,1.03e-06
323.5,0.00021742,-1.52e-05,4.56e-05,7.11e-05,0.000750275,-0.000103476
324.0,-7.64e-05,2.93e-05,0.000340626,6.05e-05,0.001256991,0.000386268
324.5,-6.57e-05,4.49e-05,0.001518142,-2.94e-05,0.001270491,0.000298149
325.0,-0.000465249,1.88e-05,0.00210778,-0.000116509,0.002056199,-0.000213924
325.5,0.00031528,5.19e-05,0.00099655,-3.42e-05,0.002439474,9.24e-05
326.0,0.000169642,1.17e-05,3.38e-05,6.07e-06,0.002259156,0.000263193
326.5,0.000414795,4.65e-05,6.98e-06,2.21e-05,0.000210538,0.000124467
327.0,-1.36e-06,-4.55e-05,1.66e-05,-7.11e-06,2.13e-05,-0.000406256
327.5,-0.000102364,1e-05,0.00041345,4.7e-05,-0.000209605,1.03e-05
328.0,0.000487711,7.76e-06,0.000819369,-4.86e-05,0.000592488,0.000453793
328.5,0.000268636,1.45e-05,0.000735531,2.5e-05,-4.88e-05,0.000316645
329.0,-0.000340047,4.3e-05,0.000330913,2.43e-06,4.93e-06,-0.000317106
329.5,0.000288297,4.13e-05,6.05e-05,-8.81e-06,0.000815244,-0.00011489
330.0,0.000613478,4.73e-06,1.51e-05,2.72e-05,0.000293164,0.000688779
330.5,0.001049166,7.94e-05,2.3e-05,9.83e-06,-0.000140513,-1.99e-05
331.0,0.000534748,5.13e-05,2.4e-05,-2.06e-05,0.00072064,0.000156167
331.5,0.000158504,7.02e-05,2.24e-05,-9.16e-05,0.000699348,0.00036953
332.0,0.000788665,4.05e-05,-3.3e-05,2.71e-05,0.000669358,-0.000416027
332.5,0.001418463,2.11e-05,-4.19e-05,-5.98e-05,0.002127319,0.0004419
333.0,0.000605833,4.72e-05,6.57e-05,2.35e-05,0.010125432,0.000528278
333.5,0.000896508,-6.78e-05,2.96e-05,-6.91e-05,0.01891687,-0.000460528
334.0,0.001094048,2.83e-05,1.72e-06,2.95e-05,0.017158782,-0.000470339
334.5,0.001376334,-9.39e-07,7.76e-05,4.02e-06,0.006176475,-0.000300154
335.0,1.53e-05,5.07e-07,4.69e-05,-5.17e-05,0.001915831,-0.000262444
335.5,0.000148041,-3.63e-05,-6.12e-06,1.85e-05,0.002914028,-0.000104996
336.0,0.000325067,7.75e-05,-3.01e-05,6.52e-05,0.001384999,0.000285588
336.5,-0.000120954,5.41e-05,-1.43e-05,5.75e-05,-0.000110029,5e-05
337.0,0.001243364,5.12e-05,-2.5e-06,-7.71e-06,0.000569394,-0.00028205
